kb	official_url	genres_csv	accesses_csv	statuses_csv
ConanCenter	https://conan.io/center	G29	FREE_NO_AUTH	PARTIAL
CORDIS Search / Linked Open Data	https://cordis.europa.eu/search	G37	FREE_NO_AUTH	PASS
Ireland CRO CORE Entity Search	https://core.cro.ie/	G10	FREE_NO_AUTH	PARTIAL
tDAR｜the Digital Archaeological Record	https://core.tdar.org/	G04	CONSTRAINED	PARTIAL
crates.io Rust Package Registry	https://crates.io/	G29	FREE_NO_AUTH	PARTIAL
Stanford HELM Leaderboards	https://crfm.stanford.edu/helm/index.html	G30	FREE_NO_AUTH	PARTIAL
Australia CRICOS	https://cricos.education.gov.au/	G13	FREE_NO_AUTH	PARTIAL
Clinical Research Information Service (CRiS)	https://cris.nih.go.kr/cris/search/listDetail.do	G23	FREE_NO_AUTH	PARTIAL
NIST Cybersecurity and Privacy Reference Tool (CPRT)	https://csrc.nist.gov/projects/cprt/catalog	G31/G32	FREE_NO_AUTH	PARTIAL
NIST CAVP Validation Search	https://csrc.nist.gov/Projects/cryptographic-algorithm-validation-program/validation-search	G31/G32	FREE_NO_AUTH	PASS
NIST CMVP Certificate Search	https://csrc.nist.gov/projects/cryptographic-module-validation-program/validated-modules/search	G31/G32	FREE_NO_AUTH	BLOCKED,PARTIAL
CTAN Search / JSON API	https://ctan.org/search/	G29	FREE_NO_AUTH	PARTIAL
Chinese Text Project	https://ctext.org/	G02/G14/G15	FREE_NO_AUTH	PARTIAL
Clinical Trials Registry - India (CTRI)	https://ctri.nic.in/Clinicaltrials/pubview.php	G23	FREE_NO_AUTH	PARTIAL
MITRE D3FEND Knowledge Graph	https://d3fend.mitre.org/	G31	FREE_NO_AUTH	PARTIAL
Dart Official Documentation Search	https://dart.dev/search	G29	FREE_NO_AUTH	PARTIAL
OECD Data Explorer SDMX API	https://data-explorer.oecd.org/	G06/G09/G10/G11/G12/G13/G37	FREE_NO_AUTH	PARTIAL
BIS Data Portal / SDMX API	https://data.bis.org/	G09/G11	FREE_NO_AUTH	PARTIAL
EQAR DEQAR	https://data.deqar.eu/	G13	FREE_NO_AUTH	PARTIAL
ECB Data Portal API	https://data.ecb.europa.eu/help/api/data	G09/G11	FREE_NO_AUTH	PASS
FAOSTAT Forestry Production and Trade / FAO Data Catalog	https://data.fao.org/catalog/iso/0f95f45b-029f-46dc-b3cd-49bed7690ca9	G24	FREE_NO_AUTH	PASS
IMF Data API	https://data.imf.org/en/Resource-Pages/IMF-API	G09/G11	FREE_AUTH	PARTIAL
LINZ Data Service	https://data.linz.govt.nz/data/	G05/G26	FREE_NO_AUTH	PARTIAL
NIST PDR｜AM Bench / Additive Manufacturing Process Data	https://data.nist.gov/pdr/lps/64025BCB4178C48EE0531A5706814E1C1889	G25	FREE_NO_AUTH	PASS
NIST Science Data Portal / Public Data Repository	https://data.nist.gov/sdp/	G20/G25/G26/G37	FREE_NO_AUTH	PARTIAL
NLR Data Catalog	https://data.nrel.gov/search-page	G27/G30/G37	FREE_NO_AUTH	PARTIAL
Rijksmuseum Collection Search API	https://data.rijksmuseum.nl/docs/search	G16	FREE_NO_AUTH	PARTIAL
UNdata	https://data.un.org/	G01/G06/G09	FREE_NO_AUTH	PARTIAL
UNICEF Data Warehouse / SDMX API	https://data.unicef.org/resources/data_explorer/unicef_f/	G06/G13/G23/G24/G37	FREE_NO_AUTH	PARTIAL
UNODC Data Portal	https://data.unodc.org/	G06/G34/G35	FREE_NO_AUTH	PARTIAL
UN Women Data Hub / Women Count	https://data.unwomen.org/data-portal	G06/G07/G09/G12/G37	FREE_NO_AUTH	PARTIAL
WTO Tariff and Trade Data	https://data.wto.org/en/dataset/wto_ttd	G09	FREE_NO_AUTH	PARTIAL
Databrary	https://databrary.org/search	G03	CONSTRAINED	PARTIAL
UNESCO UIS Data Browser / Data API	https://databrowser.uis.unesco.org/	G06/G13/G16/G37	FREE_NO_AUTH	PARTIAL
Dryad Data Repository Search / API	https://datadryad.org/search	G37	FREE_NO_AUTH	PARTIAL
FAOData Explorer	https://dataexplorer.fao.org/	G09/G24/G37	FREE_NO_AUTH	PARTIAL
World Bank Indicators API	https://datahelpdesk.worldbank.org/knowledgebase/articles/889392	G06/G09/G10/G11	FREE_NO_AUTH	PASS
ITU DataHub	https://datahub.itu.int/	G36/G09	FREE_NO_AUTH	PARTIAL
UCI DataRide Rankings	https://dataride.uci.org/	G17	FREE_NO_AUTH	PARTIAL
IETF Datatracker	https://datatracker.ietf.org/	G29/G31/G36	FREE_NO_AUTH	PASS
Harvard Dataverse Repository	https://dataverse.harvard.edu/	G37	FREE_NO_AUTH	PARTIAL
USITC DataWeb / DataWeb API	https://dataweb.usitc.gov/	G09	FREE_AUTH	PARTIAL
deps.dev / Open Source Insights	https://deps.dev/	G29/G31	FREE_NO_AUTH	PARTIAL
MySQL Reference Manual Search	https://dev.mysql.com/doc/search/	G29	FREE_NO_AUTH	PASS
UK Companies House Public Data API	https://developer-specs.company-information.service.gov.uk/companies-house-public-data-api/reference/search	G10	FREE_AUTH	PARTIAL
Alternative Fueling Station Locator API	https://developer.nlr.gov/docs/transportation/alt-fuel-stations-v1/	G28/G27	FREE_AUTH	PARTIAL
Cloudflare API Reference Search	https://developers.cloudflare.com/api/	G29/G30/G31/G36	FREE_NO_AUTH	PARTIAL
V&A Collections API	https://developers.vam.ac.uk/	G16	FREE_NO_AUTH	PARTIAL
Zenodo REST API	https://developers.zenodo.org/	G37	FREE_NO_AUTH	PASS
Portugal Diário da República	https://diariodarepublica.pt/	G08	FREE_NO_AUTH	PARTIAL
United Nations Digital Library	https://digitallibrary.un.org/	G07/G15/G37	FREE_NO_AUTH	PARTIAL
Discover Uni	https://discoveruni.gov.uk/	G13	FREE_NO_AUTH	PARTIAL
NIST Digital Library of Mathematical Functions (DLMF)	https://dlmf.nist.gov/	G18	FREE_NO_AUTH	PASS
DOAJ Search / API	https://doaj.org/	G15/G37	FREE_NO_AUTH	PARTIAL
Rust Standard Library Documentation Search	https://doc.rust-lang.org/stable/std/	G29	FREE_NO_AUTH	PASS
AirNow API	https://docs.airnowapi.org/webservices	G21	FREE_AUTH	PARTIAL
Amazon EC2 API Reference	https://docs.aws.amazon.com/AWSEC2/latest/APIReference/	G29	FREE_NO_AUTH	PASS
Google Compute Engine REST API Reference	https://docs.cloud.google.com/compute/docs/reference/rest/v1	G29	FREE_NO_AUTH	PASS
RIPE Database RDAP	https://docs.db.ripe.net/How-to-Query-the-RIPE-Database/Registration-Data-Access-Protocol	G36	FREE_NO_AUTH	PARTIAL
Django Documentation Search	https://docs.djangoproject.com/en/6.0/search/	G29	FREE_NO_AUTH	PASS
GitLab Search API	https://docs.gitlab.com/api/search/	G29	FREE_AUTH	PARTIAL
Groovy API Documentation Search	https://docs.groovy-lang.org/latest/html/api/	G29	FREE_NO_AUTH	PASS
JAX Documentation Search	https://docs.jax.dev/en/latest/search.html	G29/G30	FREE_NO_AUTH	PARTIAL
Julia Documentation Search	https://docs.julialang.org/en/v1/search/	G29/G30	FREE_NO_AUTH	PARTIAL
Linux Kernel Documentation Search	https://docs.kernel.org/search.html	G29	FREE_NO_AUTH	PASS
Materials Project API	https://docs.materialsproject.org/downloading-data/using-the-api	G20/G25	FREE_AUTH	PARTIAL
NVIDIA TensorRT Documentation Search	https://docs.nvidia.com/deeplearning/tensorrt/latest/search.html	G29/G30	FREE_NO_AUTH	PARTIAL
OpenCV Documentation / API Reference	https://docs.opencv.org/	G30/G29	FREE_NO_AUTH	PASS
OpenVINO Documentation Search	https://docs.openvino.ai/2026/search.html	G29/G30	FREE_NO_AUTH	PARTIAL
Java SE / JDK API Documentation Search	https://docs.oracle.com/en/java/javase/26/docs/api/search.html	G29	FREE_NO_AUTH	PARTIAL
Python Official Documentation Search	https://docs.python.org/3/search.html	G29	FREE_NO_AUTH	PASS
PyTorch API Documentation Search	https://docs.pytorch.org/docs/main/pytorch-api.html	G29/G30	FREE_NO_AUTH	PARTIAL
Racket Documentation Search	https://docs.racket-lang.org/	G29	FREE_NO_AUTH	PASS
NVIDIA RAPIDS Documentation Search	https://docs.rapids.ai/	G29/G30	FREE_NO_AUTH	PARTIAL
Ruby Official Documentation Search	https://docs.ruby-lang.org/ja/search/	G29	FREE_NO_AUTH	PARTIAL
Scala Documentation / Language Specification Search	https://docs.scala-lang.org/	G29	FREE_NO_AUTH	PASS
SciPy Documentation Search	https://docs.scipy.org/doc/scipy/search.html	G30/G29	FREE_NO_AUTH	PASS
Solidity Documentation / General Index	https://docs.soliditylang.org/en/latest/genindex.html	G29/G31	FREE_NO_AUTH	PASS
Spring Documentation Search	https://docs.spring.io/spring-framework/reference/search.html	G29	FREE_NO_AUTH	PARTIAL
TED Search API (Tenders Electronic Daily)	https://docs.ted.europa.eu/api/latest/search.html	G07/G10	FREE_NO_AUTH	PARTIAL
Copernicus Data Space Catalogue APIs	https://documentation.dataspace.copernicus.eu/APIs.html	G05/G21	FREE_NO_AUTH	PARTIAL
German Clinical Trials Register (DRKS)	https://drks.de/search/en	G23	FREE_NO_AUTH	PARTIAL
FAA Dynamic Regulatory System (DRS)	https://drs.faa.gov/search	G28/G32	FREE_NO_AUTH	PARTIAL
EU Business Registers Interconnection System (BRIS)	https://e-justice.europa.eu/topics/registers-business-insolvency-land/business-registers-search-company-eu_en	G10	FREE_NO_AUTH	PARTIAL
Eurostat Statistics API	https://ec.europa.eu/eurostat/api/dissemination	G09	FREE_NO_AUTH	PASS
EU Safety Gate	https://ec.europa.eu/safety-gate-alerts/screen/webReport	G33	FREE_NO_AUTH	PARTIAL
ECHA CHEM / Search for Chemicals	https://echa.europa.eu/information-on-chemicals	G20/G21/G33	CONSTRAINED	PARTIAL
EPA ECHO	https://echo.epa.gov/	G21/G33/G10	FREE_NO_AUTH	PARTIAL
Overview of Medical Research in the Netherlands (OMON)	https://english.ccmo.nl/researchportal/ccmo-register	G23	FREE_NO_AUTH	PARTIAL
CNIPA Patent / Trademark Query	https://english.cnipa.gov.cn/	G32	FREE_NO_AUTH	PARTIAL
Brazilian Clinical Trials Registry (ReBEC)	https://ensaiosclinicos.gov.br/metis/search/query	G23	FREE_NO_AUTH	PARTIAL
Peruvian Clinical Trials Registry (REPEC)	https://ensayosclinicos-repec.ins.gob.pe/en/about-repec/clinical-trial-search	G23	FREE_NO_AUTH	PARTIAL
EU EPREL Product Registry	https://eprel.ec.europa.eu/	G27/G33/G38	FREE_NO_AUTH	PARTIAL
EPSG Geodetic Parameter Dataset	https://epsg.org/home.html	G05	FREE_NO_AUTH	PASS
ERA ERADIS	https://eradis.era.europa.eu/	G28/G32	FREE_NO_AUTH	PARTIAL
ESCO Web Services API	https://esco.ec.europa.eu/en/use-esco/use-esco-services-api/esco-web-service-api	G12/G13	FREE_NO_AUTH	PARTIAL
EU Clinical Trials Information System (CTIS) Public Search	https://euclinicaltrials.eu/ctis-public/search	G23	FREE_NO_AUTH	PARTIAL
EuDML	https://eudml.org/search	G18/G37	FREE_NO_AUTH	PARTIAL
EUR-Lex	https://eur-lex.europa.eu/advanced-search-form.html?locale=en	G08/G25/G30/G31/G32	FREE_NO_AUTH	PASS
NASA Exoplanet Archive TAP / API	https://exoplanetarchive.ipac.caltech.edu/	G19/G37	FREE_NO_AUTH	PARTIAL
Figshare Search / API	https://figshare.com/	G37	FREE_NO_AUTH	PARTIAL
FindStat	https://findstat.org/	G18	FREE_NO_AUTH	PARTIAL
China National Laws and Regulations Database	https://flk.npc.gov.cn/search	G08	FREE_NO_AUTH	PARTIAL
Colombia SECOP Public Contract Search	https://formacion.secop.gov.co/Public/Tendering/ContractNoticeManagement/Index?Country=CO&Page=login&SkinName=CCE&currentLanguage=es-co	G07/G10	FREE_NO_AUTH	PARTIAL
Homebrew Formulae	https://formulae.brew.sh/	G29	FREE_NO_AUTH	PARTIAL
FRED API / Series Search	https://fred.stlouisfed.org/docs/api/fred/series_search.html	G09/G11	FREE_AUTH	PARTIAL
Wolfram Functions Site	https://functions.wolfram.com/	G18	FREE_NO_AUTH	PARTIAL
GCC Online Documentation	https://gcc.gnu.org/onlinedocs/	G29	FREE_NO_AUTH	PARTIAL
NGA Geographic Names Server (GNS)	https://geonames.nga.mil/geonames/GNSHome/	G05	FREE_NO_AUTH	PARTIAL
EPA GHGRP FLIGHT｜Facility Level GHG Emissions Data	https://ghgdata.epa.gov/flight/	G21	FREE_NO_AUTH	PASS
FEMA IPAWS Archived Alerts API	https://gis.fema.gov/arcgis/rest/services/FEMA/IPAWS_Archive/FeatureServer/1	G34	FREE_NO_AUTH	PARTIAL
IMO GISIS Public Area	https://gisis.imo.org/Public/Default.aspx	G28/G35	FREE_NO_AUTH	PARTIAL
GitHub Advisory Database	https://github.com/advisories	G29/G31	FREE_NO_AUTH	PARTIAL
IRENA Global Atlas for Renewable Energy	https://globalatlas.irena.org/	G27/G21	FREE_NO_AUTH	PARTIAL
OECD GlobalRecalls Portal	https://globalrecalls.oecd.org/	G33	FREE_NO_AUTH	PARTIAL
Glottolog	https://glottolog.org/	G14	FREE_NO_AUTH	PARTIAL
Glottolog	https://glottolog.org/glottolog	G14/G15	FREE_NO_AUTH	PARTIAL
Go Language Specification / go.dev	https://go.dev/ref/spec	G29	FREE_NO_AUTH	PASS
Grambank	https://grambank.clld.org/	G14	FREE_NO_AUTH	PARTIAL
Global Register of Publishers (GRP)	https://grp.isbn-international.org/	G15/G32,G15/G10	FREE_AUTH,FREE_NO_AUTH	PARTIAL
RubyGems.org Search API	https://guides.rubygems.org/rubygems-org-api/	G29	FREE_NO_AUTH	PARTIAL
Hackage	https://hackage.haskell.org/packages/search	G29	FREE_NO_AUTH	PARTIAL
Health Canada Drug Product Database (DPD)	https://health-products.canada.ca/dpd-bdpp/?lang=eng	G23/G24	FREE_NO_AUTH	PARTIAL
Health Canada Medical Devices Active Licence Listing (MDALL)	https://health-products.canada.ca/mdall-limh/prepareSearch?lang=eng&type=active	G23/G33	FREE_NO_AUTH	PARTIAL
NASA HEASARC Data Archive / Xamin	https://heasarc.gsfc.nasa.gov/W3Browse/	G19/G37	FREE_NO_AUTH	PARTIAL
Elixir Official Documentation Search	https://hexdocs.pm/elixir/search.html	G29	FREE_NO_AUTH	PASS
National Heritage List for England	https://historicengland.org.uk/listing/the-list	G04/G16	FREE_NO_AUTH	PARTIAL
DoD Key Officials Searchable Database	https://history.defense.gov/Publications/DoD-Key-Officials/	G35/G04	FREE_NO_AUTH	PARTIAL
Hoogle｜Haskell API Search	https://hoogle.haskell.org/	G29	FREE_NO_AUTH	PARTIAL
House of Graphs	https://houseofgraphs.org/search	G18	FREE_NO_AUTH	PARTIAL
Docker Hub Search	https://hub.docker.com/search	G29	FREE_NO_AUTH	PASS
Hugging Face Hub Search	https://huggingface.co/docs/hub/en/search	G30	FREE_NO_AUTH	PASS
IATE Terminology Database	https://iate.europa.eu/	G14	FREE_NO_AUTH	PARTIAL
ICC-ES Reports Directory	https://icc-es.org/reports-directory/	G26	FREE_NO_AUTH	PARTIAL
WHO ICD API	https://icd.who.int/icdapi	G03/G23	FREE_AUTH	PARTIAL
Internet Encyclopedia of Philosophy	https://iep.utm.edu/	G02	FREE_NO_AUTH	PARTIAL
ILAC MRA Signatory Search	https://ilac.org/signatory-search/	G32	FREE_NO_AUTH	PARTIAL
ILOSTAT Bulk / Programmatic Data	https://ilostat.ilo.org/data/bulk/	G12	FREE_NO_AUTH	PARTIAL
ILO World Social Protection Data Dashboards / ILOSTAT	https://ilostat.ilo.org/topics/social-protection/	G06/G09/G12	FREE_NO_AUTH	PARTIAL
AI Incident Database	https://incidentdatabase.ai/	G30/G34	FREE_NO_AUTH	PARTIAL
EEA European Industrial Emissions Portal	https://industry.eea.europa.eu/industrial-emissions	G21/G25/G27/G33	FREE_NO_AUTH	PARTIAL
ORCID Public Registry Search API	https://info.orcid.org/what-is-orcid/services/public-api/searching-the-registry/	G01/G37	FREE_AUTH	PARTIAL
FHWA LTBP InfoBridge / National Bridge Inventory Search	https://infobridge.fhwa.dot.gov/data	G26/G28	FREE_NO_AUTH	PARTIAL
FHWA InfoMaterials	https://infomaterials.fhwa.dot.gov/Data	G25/G26/G28	FREE_NO_AUTH	PARTIAL
FHWA LTPP InfoPave	https://infopave.fhwa.dot.gov/Data/DataSelection	G26/G28/G37	FREE_NO_AUTH	PARTIAL
FHWA InfoTechnology	https://infotechnology.fhwa.dot.gov/	G25/G26/G28	FREE_NO_AUTH	PARTIAL
INSPIRE-HEP	https://inspirehep.net/	G19/G37	FREE_NO_AUTH	PARTIAL
IP India InPASS / Patent Public Search	https://ipindia.gov.in/patents-before-you-apply-public-search	G32	FREE_NO_AUTH	PARTIAL
Iranian Registry of Clinical Trials (IRCT)	https://irct.ir/search	G23	FREE_NO_AUTH	PARTIAL
NPS IRMA DataStore / REST API	https://irmaservices.nps.gov/	G04/G17/G21/G22/G37	FREE_NO_AUTH	PARTIAL
Archive of Formal Proofs (AFP)	https://isa-afp.org/search/	G18/G37	FREE_NO_AUTH	PARTIAL
Poland ISAP	https://isap.sejm.gov.pl/isap.nsf/search.xsp	G08	FREE_NO_AUTH	PARTIAL
Corporations Canada Federal Corporation Search	https://ised-isde.canada.ca/cc/lgcy/fdrlCrpSrch.html	G10	FREE_NO_AUTH	PARTIAL
Canadian Trademarks Database	https://ised-isde.canada.ca/cipo/trademark-search/srch?lang=eng	G32	FREE_NO_AUTH	PARTIAL
Canadian Patents Database	https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en/patents	G32	FREE_NO_AUTH	PARTIAL
Canadian Copyright Database Search	https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en/search-intellectual-property-databases	G32	FREE_NO_AUTH	PARTIAL
ISSF Results / Athletes Database	https://issf-sports.org/competitions/results	G17	FREE_NO_AUTH	PASS
International Traditional Medicine Clinical Trial Registry (ITMCTR)	https://itmctr.ccebtcm.org.cn/	G23/G24	FREE_NO_AUTH	PARTIAL
Indonesia JDIHN / Peraturan.go.id	https://jdih.peraturan.go.id/dokumen/index.html	G08	FREE_NO_AUTH	PARTIAL
European Commission DGT Translation Memory (DGT-TM)	https://joint-research-centre.ec.europa.eu/language-technology-resources/dgt-translation-memory_en	G14/G29/G37	FREE_NO_AUTH	PARTIAL
Japan Registry of Clinical Trials (jRCT)	https://jrct.mhlw.go.jp/	G23	FREE_NO_AUTH	PARTIAL
IJF Judobase / Results	https://judobase.ijf.org/	G17	FREE_NO_AUTH	PARTIAL
OHCHR JURIS Jurisprudence Database	https://juris.ohchr.org/AdvancedSearch	G06/G08	FREE_NO_AUTH	PARTIAL
JVN iPedia	https://jvndb.jvn.jp/	G31	FREE_NO_AUTH	PARTIAL
Belgium CBE Public Search	https://kbopub.economie.fgov.be/kbopub/zoeknummerform.html	G10/G11	FREE_NO_AUTH	PARTIAL
KerasHub Pretrained Models	https://keras.io/keras_hub/presets/	G29/G30	FREE_NO_AUTH	PARTIAL
Keras Documentation Search	https://keras.io/search.html	G29/G30	FREE_NO_AUTH	PARTIAL
Kotlin Official API Documentation Search	https://kotlinlang.org/docs/api-references.html	G29	FREE_NO_AUTH	PARTIAL
Kubernetes Documentation / API Reference Search	https://kubernetes.io/docs/reference/	G29	FREE_NO_AUTH	PARTIAL
Korean Law Information Center	https://law.go.kr/eng/engMain.do	G08	FREE_NO_AUTH	PARTIAL
Canada Justice Laws Website	https://laws-lois.justice.gc.ca/	G08	FREE_NO_AUTH	PARTIAL
Saudi Ministry of Justice Laws and Regulations	https://laws.moj.gov.sa/en/legislations-regulations/	G08	FREE_NO_AUTH	PARTIAL
Lebanese Clinical Trials Registry (LBCTR)	https://lbctr.moph.gov.lb/LBCTR/Trials/View	G23	FREE_NO_AUTH	PARTIAL
Mathlib Documentation Search	https://leanprover-community.github.io/mathlib4_docs/	G18/G29	FREE_NO_AUTH	PARTIAL
.NET API Browser	https://learn.microsoft.com/en-us/dotnet/api/	G29	FREE_NO_AUTH	PARTIAL
F# Language Reference / Microsoft Learn	https://learn.microsoft.com/en-us/dotnet/fsharp/	G29	FREE_NO_AUTH	PARTIAL
NuGet SearchQueryService	https://learn.microsoft.com/en-us/nuget/api/search-query-service-resource	G29	FREE_NO_AUTH	PARTIAL
PowerShell Documentation / Module Browser	https://learn.microsoft.com/en-us/powershell/	G29	FREE_NO_AUTH	PARTIAL
Microsoft vcpkg Registry Search	https://learn.microsoft.com/en-us/vcpkg/commands/search	G29	FREE_NO_AUTH	PARTIAL
Windows Package Manager (WinGet) Sources Search	https://learn.microsoft.com/en-us/windows/package-manager/winget/search	G29	FREE_NO_AUTH	PARTIAL
Brazilian Federal Legislation Search (Planalto)	https://legislacao.planalto.gov.br/	G08	FREE_NO_AUTH	PARTIAL
Romania Portal Legislativ	https://legislatie.just.ro/	G08	FREE_NO_AUTH	PARTIAL
USACE National Levee Database	https://levees.sec.usace.army.mil/	G26/G34	FREE_NO_AUTH	PARTIAL
